Area_Name,HR,lon,lat
Southeast,17,-118.2868,33.9201
Pacific,12,-118.3711,33.9454
77th Street,13,-118.309,33.96
West LA,3,-118.5258,34.0385
Newton,23,-118.259,34.0076
Hollenbeck,10,-118.2066,34.0188
Northeast,13,-118.209,34.1219
Devonshire,11,-118.5885,34.2355
Mission,0,-118.4269,34.3028
Newton,16,-118.274,34.0038
Olympic,19,-118.2842,34.0508
West Valley,20,-118.5361,34.212
77th Street,0,-118.2871,33.9688
Olympic,1,-118.3116,34.069
West Valley,21,-118.5011,34.2121
N Hollywood,3,-118.3702,34.1667
Northeast,21,-118.2685,34.1235
N Hollywood,0,-118.3921,34.1722
N Hollywood,23,-118.3712,34.1525
77th Street,12,-118.3309,33.9806
N Hollywood,2,-118.3737,34.1903
Devonshire,2,-118.5623,34.2446
West Valley,4,-118.5273,34.1723
Mission,15,-118.4404,34.2216
Foothill,19,-118.3184,34.2645
West Valley,23,-118.54,34.2048
77th Street,10,-118.3463,33.9852
Southeast,20,-118.2684,33.947
Foothill,20,-118.4032,34.2482
Pacific,5,-118.4369,33.9989
West Valley,13,-118.5361,34.2102
Devonshire,18,-118.52,34.2359
Olympic,13,-118.3009,34.0559
Southeast,17,-118.2871,33.9274
Van Nuys,19,-118.4575,34.1867
77th Street,0,-118.3324,33.9745
Topanga,14,-118.6321,34.206
West LA,0,-118.3814,34.0594
77th Street,1,-118.2871,33.9747
Rampart,18,-118.2856,34.0767
Harbor,21,-118.2601,33.7439
Pacific,9,-118.3847,33.9635
Pacific,13,-118.3878,33.9733
Hollenbeck,11,-118.2224,34.0716
Van Nuys,23,-118.4312,34.1576
Central,8,-118.2398,34.0527
Southeast,1,-118.2443,33.9321
West LA,9,-118.4029,34.0301
77th Street,19,-118.2695,33.9739
Olympic,2,-118.2954,34.0636
Southwest,15,-118.3524,34.0215
Olympic,14,-118.2862,34.0598
West Valley,4,-118.5273,34.1745
Wilshire,18,-118.3267,34.0478
Newton,18,-118.2564,33.9834
Southwest,20,-118.2915,34.0102
Southeast,8,-118.2739,33.931
Newton,13,-118.274,34.0074
Olympic,9,-118.3041,34.0526
Rampart,13,-118.2814,34.0467
West LA,4,-118.4478,34.0343
Southwest,22,-118.3002,34.0291
N Hollywood,11,-118.3604,34.1522
Olympic,14,-118.2947,34.0473
West LA,8,-118.4261,34.0622
Southwest,3,-118.29,34.0046
Rampart,11,-118.2786,34.0493
Northeast,8,-118.2354,34.0714
Foothill,1,-118.4053,34.2217
Rampart,3,-118.26,34.0644
Southwest,15,-118.3398,34.0105
Southeast,17,-118.2861,33.9164
N Hollywood,22,-118.3992,34.1649
Northeast,21,-118.2918,34.1012
Southwest,10,-118.2959,34.0273
Pacific,15,-118.4373,33.9855
77th Street,16,-118.3176,33.9891
Van Nuys,23,-118.4356,34.2012
Hollywood,20,-118.3363,34.098
Wilshire,15,-118.3451,34.071
Central,21,-118.268,34.0407
Hollywood,3,-118.3092,34.0908
77th Street,6,-118.2958,33.9899
Topanga,17,-118.5885,34.201
Topanga,5,-118.606,34.221
Southwest,17,-118.3227,34.0222
Central,20,-118.27,34.0451
Newton,6,-118.2783,33.9824
Pacific,14,-118.4156,33.9759
Wilshire,15,-118.3205,34.0591
Hollywood,2,-118.337,34.1006
Wilshire,16,-118.344,34.0711
West Valley,20,-118.4772,34.1939
Topanga,13,-118.6234,34.1864
West Valley,4,-118.5185,34.1866
Hollenbeck,10,-118.2091,34.0737
Newton,13,-118.2631,33.9844
Olympic,19,-118.287,34.0637
Wilshire,17,-118.3553,34.0837
West Valley,19,-118.536,34.2084
West LA,18,-118.3837,34.0548
Hollywood,17,-118.3092,34.0981
Wilshire,5,-118.3405,34.0571
Wilshire,15,-118.3363,34.0399
Hollywood,1,-118.3033,34.1018
Southwest,4,-118.3384,34.0311
Rampart,19,-118.2613,34.0763
Northeast,12,-118.2233,34.1227
Olympic,11,-118.3091,34.0527
Olympic,10,-118.309,34.0472
Southwest,9,-118.3182,34.0037
Newton,17,-118.2765,33.9842
West Valley,2,-118.5098,34.1939
Harbor,4,-118.2623,33.7993
N Hollywood,23,-118.4058,34.1533
Devonshire,8,-118.5623,34.2246
Hollywood,15,-118.3383,34.1042
Mission,20,-118.4552,34.2427
Devonshire,14,-118.4792,34.2249
Hollenbeck,8,-118.2017,34.0401
Hollywood,21,-118.3295,34.0998
West Valley,7,-118.5382,34.2084
Foothill,9,-118.3878,34.2157
Rampart,13,-118.2704,34.0805
West LA,21,-118.4031,34.0537
Rampart,20,-118.2703,34.0667
Pacific,21,-118.3914,33.9599
Hollenbeck,3,-118.1703,34.0838
Devonshire,18,-118.5885,34.2383
Topanga,17,-118.6126,34.2259
Olympic,23,-118.2979,34.0618
N Hollywood,16,-118.3703,34.1867
Topanga,19,-118.571,34.2156
Hollenbeck,20,-118.2137,34.0449
Wilshire,22,-118.344,34.0649
Devonshire,9,-118.5885,34.2572
Olympic,8,-118.2843,34.0667
77th Street,15,-118.2871,33.9764
77th Street,21,-118.3258,33.9891
West LA,16,-118.4709,34.0414
Southwest,14,-118.3002,34.0255
West Valley,5,-118.5486,34.1944
Devonshire,20,-118.5702,34.2755
Rampart,18,-118.2697,34.0697
Wilshire,8,-118.3361,34.051
Wilshire,11,-118.3441,34.0835
West LA,10,-118.4354,34.0482
Devonshire,1,-118.5552,34.2693
Hollenbeck,14,-118.2213,34.0668
West Valley,14,-118.5273,34.1903
Olympic,13,-118.284,34.0382
Devonshire,22,-118.5233,34.2504
Southeast,4,-118.2827,33.9492
Foothill,0,-118.2873,34.2559
Newton,15,-118.2608,33.9893
Olympic,14,-118.2941,34.0578
Pacific,15,-118.4238,33.9927
Southeast,16,-118.254,33.9503
Southeast,0,-118.2622,33.9267
Southeast,15,-118.2916,33.931
Devonshire,19,-118.5536,34.2428
Newton,14,-118.244,34.0096
West Valley,5,-118.5361,34.1688
Mission,22,-118.4346,34.2359
Hollywood,22,-118.3206,34.098
Wilshire,9,-118.3522,34.0836
West LA,23,-118.4898,34.0731
Hollenbeck,10,-118.195,34.0571
Pacific,16,-118.433,33.976
Southwest,22,-118.2948,34.0255
Northeast,10,-118.2287,34.1348
Rampart,10,-118.2542,34.0591
Hollenbeck,12,-118.1883,34.0859
Northeast,7,-118.2856,34.0935
West Valley,21,-118.5535,34.1866
77th Street,16,-118.2564,33.9638
77th Street,11,-118.2827,33.9679
77th Street,20,-118.3003,33.9798
Hollenbeck,19,-118.2224,34.0716
Topanga,19,-118.5661,34.1865
Central,16,-118.232,34.0644
Van Nuys,19,-118.4662,34.1538
Van Nuys,13,-118.4662,34.193
Newton,22,-118.2704,34.0112
Northeast,22,-118.2111,34.0912
Northeast,3,-118.2732,34.1011
Southwest,0,-118.3161,34.0183
Southeast,18,-118.2782,33.9546
Mission,1,-118.4575,34.2282
West LA,17,-118.4323,34.0521
Hollywood,23,-118.3386,34.0962
Devonshire,13,-118.5273,34.2287
Harbor,12,-118.2795,33.7786
Newton,12,-118.2565,33.9998
Southwest,17,-118.2805,34.0212
77th Street,3,-118.2827,33.9942
West LA,12,-118.4478,34.0306
Devonshire,18,-118.5372,34.2355
Devonshire,6,-118.5273,34.25
Northeast,1,-118.2208,34.1241
Mission,11,-118.4383,34.312
Wilshire,13,-118.3516,34.0482
Wilshire,13,-118.3413,34.0571
Van Nuys,6,-118.4166,34.162
Newton,16,-118.2565,34.0039
Pacific,8,-118.4057,33.9439
Wilshire,20,-118.3284,34.0447
Newton,16,-118.2557,34.0337
Devonshire,20,-118.5023,34.2575
Pacific,17,-118.4109,34.0166
Hollenbeck,4,-118.1932,34.0603
Olympic,14,-118.2927,34.0527
N Hollywood,16,-118.3763,34.1577
Southwest,20,-118.326,34.0326
Foothill,14,-118.4062,34.2344
Southwest,17,-118.2959,34.0155
77th Street,3,-118.2871,33.997
Pacific,15,-118.4327,33.9832
West LA,13,-118.3848,34.0498
Northeast,20,-118.2602,34.0798
Southeast,9,-118.2739,33.9411
Van Nuys,19,-118.4662,34.1758
N Hollywood,23,-118.4095,34.174
77th Street,15,-118.2564,33.973
Newton,10,-118.2652,34.0092
Hollywood,0,-118.3295,34.0962
West LA,13,-118.4277,34.0392
77th Street,11,-118.2915,33.9905
Wilshire,19,-118.344,34.0669
West LA,11,-118.456,34.0438
Hollenbeck,17,-118.1805,34.0653
West LA,23,-118.4299,34.0794
Northeast,7,-118.3119,34.1538
Topanga,16,-118.5885,34.2011
Hollenbeck,17,-118.2068,34.0315
Hollywood,17,-118.3755,34.104
Van Nuys,10,-118.4662,34.2076
Newton,10,-118.2436,34.0349
Northeast,20,-118.2203,34.131
Pacific,20,-118.4197,34.0114
77th Street,10,-118.3046,33.9673
Wilshire,12,-118.343,34.0762
Mission,17,-118.445,34.2599
Newton,10,-118.2499,33.9984
Pacific,15,-118.3673,33.9817
Newton,10,-118.2303,34.0184
Southwest,18,-118.2915,34.02
77th Street,17,-118.2915,33.9964
Northeast,18,-118.2604,34.0782
Southwest,7,-118.2882,34.0255
West LA,13,-118.5078,34.043
Devonshire,1,-118.5089,34.2539
77th Street,12,-118.2827,33.9965
Central,16,-118.2398,34.0527
West Valley,12,-118.5348,34.2012
Topanga,17,-118.5928,34.1884
Hollenbeck,9,-118.2197,34.0728
Topanga,17,-118.6146,34.1855
Pacific,21,-118.4073,33.944
Central,19,-118.2418,34.0372
Rampart,7,-118.2838,34.0398
Foothill,16,-118.272,34.2441
Van Nuys,18,-118.4531,34.1517
Devonshire,15,-118.5339,34.2246
Newton,18,-118.2575,34.0199
77th Street,12,-118.309,33.96
West Valley,19,-118.4924,34.1929
N Hollywood,8,-118.3834,34.1867
West Valley,2,-118.4771,34.1648
Wilshire,18,-118.337,34.0488
Pacific,15,-118.4327,33.9619
Southwest,14,-118.3351,34.0215
Van Nuys,8,-118.4225,34.1468
Southwest,17,-118.3395,34.0326
Devonshire,20,-118.5448,34.2355
Newton,22,-118.2574,34.0277
77th Street,18,-118.3002,33.991
Devonshire,11,-118.5492,34.2283
Hollywood,9,-118.3113,34.0981
Central,19,-118.2598,34.0402
Harbor,5,-118.2562,33.7916
Southwest,19,-118.3318,34.0268
Southeast,19,-118.2827,33.9019
Harbor,7,-118.2822,33.8703
Hollenbeck,7,-118.2103,34.0707
Mission,23,-118.4559,34.2688
Pacific,0,-118.4726,33.9875
Newton,23,-118.2478,33.993
Wilshire,15,-118.3498,34.0762
Hollywood,9,-118.3386,34.0944
Olympic,10,-118.287,34.0652
Newton,7,-118.2732,34.0029
Hollenbeck,17,-118.1922,34.0189
Topanga,22,-118.6016,34.201
Newton,11,-118.2303,34.0184
N Hollywood,19,-118.379,34.1649
Olympic,18,-118.3012,34.0777
Newton,18,-118.2584,34.0313
Olympic,9,-118.3163,34.0503
West LA,17,-118.4439,34.0588
77th Street,2,-118.2813,33.9992
Mission,6,-118.4677,34.2247
Topanga,7,-118.639,34.1969
Hollenbeck,21,-118.2054,34.0338
Rampart,22,-118.2672,34.0606
Central,12,-118.2356,34.0382
Rampart,8,-118.3005,34.0856
Devonshire,8,-118.6134,34.2448
Devonshire,19,-118.5361,34.2428
Mission,6,-118.4488,34.2168
Hollenbeck,15,-118.2089,34.0473
Northeast,18,-118.2153,34.1343
Newton,6,-118.2339,34.0347
Central,12,-118.243,34.0458
Hollywood,21,-118.341,34.1131
West Valley,9,-118.5386,34.2011
77th Street,7,-118.309,33.9564
Central,14,-118.2412,34.0426
Southwest,12,-118.343,34.0279
N Hollywood,19,-118.4137,34.1867
Rampart,15,-118.2779,34.0416
Southwest,0,-118.3177,34.0256
Hollywood,23,-118.3387,34.098
Central,19,-118.2504,34.0404
Harbor,13,-118.2627,33.7912
Southeast,18,-118.2622,33.9283
Topanga,17,-118.6145,34.1688
Newton,15,-118.2652,33.9988
Van Nuys,15,-118.464,34.2012
77th Street,15,-118.2827,33.9795
Wilshire,8,-118.3679,34.0587
Foothill,12,-118.4039,34.2251
Olympic,15,-118.2879,34.0499
Van Nuys,12,-118.4662,34.1721
Southwest,10,-118.3338,34.0054
Northeast,8,-118.2233,34.1227
Mission,18,-118.4438,34.3129
Wilshire,23,-118.37,34.0431
Wilshire,12,-118.3408,34.0736
Southwest,3,-118.3182,34.0146
Hollywood,1,-118.3361,34.11
Newton,5,-118.2739,33.9815
Southwest,10,-118.3311,34.0023
Southeast,12,-118.2502,33.9323
Southeast,17,-118.2783,33.931
Topanga,7,-118.606,34.2038
Northeast,16,-118.2918,34.0982
Hollywood,14,-118.3489,34.1047
Rampart,18,-118.2917,34.0791
West LA,15,-118.42,34.0357
Southwest,18,-118.3177,34.0203
77th Street,15,-118.3003,33.96
Pacific,14,-118.3701,33.9788
Olympic,2,-118.2916,34.0654
Wilshire,15,-118.3334,34.0485
Mission,12,-118.4269,34.3028
Wilshire,21,-118.3703,34.0837
Southwest,20,-118.3311,34.0023
Southeast,18,-118.2504,33.9304
Van Nuys,18,-118.4659,34.1685
Newton,11,-118.2521,34.0039
Van Nuys,12,-118.44,34.153
Mission,4,-118.4309,34.2178
Central,13,-118.2294,34.0344
Hollenbeck,23,-118.2142,34.0676
Harbor,17,-118.2955,33.7694
Devonshire,23,-118.5754,34.2246
Devonshire,14,-118.5541,34.2573
Pacific,12,-118.4326,33.9598
Hollywood,18,-118.3092,34.0981
Rampart,22,-118.2672,34.0606
West Valley,11,-118.5374,34.2012
West LA,5,-118.4693,34.0532
77th Street,14,-118.2666,33.9601
N Hollywood,8,-118.3241,34.1428
Pacific,15,-118.3767,33.9762
West Valley,6,-118.4924,34.2012
Olympic,19,-118.3003,34.04
Van Nuys,22,-118.4575,34.2085
Newton,17,-118.2439,34.0342
West Valley,20,-118.5374,34.18
N Hollywood,17,-118.4094,34.2012
West LA,19,-118.4807,34.0579
Pacific,16,-118.4054,33.9428
Mission,8,-118.4517,34.3116
Northeast,14,-118.1844,34.1216
West LA,12,-118.4454,34.1066
77th Street,8,-118.3308,33.9854
Topanga,20,-118.6058,34.1643
Wilshire,15,-118.3543,34.0802
Mission,7,-118.4622,34.2246
Wilshire,13,-118.3373,34.0762
Topanga,16,-118.571,34.201
Rampart,5,-118.3005,34.0836
Olympic,11,-118.2966,34.0763
Rampart,22,-118.2672,34.0606
Newton,9,-118.2519,34.0186
Wilshire,19,-118.3475,34.0404
Harbor,22,-118.3093,33.8429
77th Street,7,-118.2871,33.9698
77th Street,19,-118.2651,33.9638
Rampart,17,-118.2765,34.0524
77th Street,21,-118.3182,33.9932
Devonshire,8,-118.5842,34.2481
Topanga,13,-118.6129,34.201
Olympic,3,-118.3122,34.0496
Topanga,9,-118.5882,34.1733
Southwest,8,-118.3537,34.0272
Rampart,15,-118.2814,34.0605
Newton,7,-118.2738,34.0192
Van Nuys,14,-118.4225,34.154
Van Nuys,5,-118.4487,34.1827
West Valley,15,-118.5317,34.1866
Mission,23,-118.4659,34.2179
Hollenbeck,7,-118.2047,34.0477
Topanga,18,-118.6146,34.1865
Mission,17,-118.4431,34.2975
77th Street,15,-118.309,33.9637
Foothill,17,-118.4038,34.2319
Pacific,16,-118.4683,33.9947
Hollywood,20,-118.3363,34.0907
Hollywood,17,-118.3092,34.0956
West LA,9,-118.4139,34.0405
Hollywood,21,-118.3462,34.0944
77th Street,15,-118.3003,33.96
Central,19,-118.2598,34.0402
Hollenbeck,16,-118.2195,34.0749
West LA,14,-118.4436,34.038
Devonshire,11,-118.5702,34.2755
77th Street,14,-118.2871,33.9747
Olympic,7,-118.2989,34.0491
West Valley,10,-118.5273,34.2048
Central,2,-118.2646,34.0311
Southwest,7,-118.3089,34.0274
77th Street,18,-118.2827,33.9897
Olympic,12,-118.2864,34.0427
Devonshire,18,-118.4764,34.2283
Mission,6,-118.4488,34.2134
Van Nuys,23,-118.4225,34.1794
Rampart,8,-118.2842,34.0473
Southeast,17,-118.2695,33.9456
West Valley,13,-118.5426,34.2011
Hollywood,16,-118.307,34.0957
Topanga,20,-118.6234,34.1864
Harbor,10,-118.3012,33.7225
77th Street,19,-118.3177,33.9719
Newton,15,-118.274,34.0038
Southeast,10,-118.2543,33.9295
Pacific,10,-118.3726,33.9761
Newton,4,-118.2396,34.018
77th Street,9,-118.2804,33.9747
West Valley,13,-118.5426,34.2011
Southwest,22,-118.3403,34.0126
West LA,11,-118.4119,34.0585
Southwest,20,-118.3002,34.0182
Wilshire,19,-118.3706,34.059
Harbor,10,-118.2879,33.7342
Wilshire,17,-118.3237,34.0436
Van Nuys,12,-118.4574,34.2012
Rampart,11,-118.2842,34.0524
Topanga,20,-118.6234,34.1864
Pacific,8,-118.402,33.9579
Southeast,21,-118.2652,33.9311
Central,22,-118.2665,34.0338
Van Nuys,15,-118.4618,34.1939
West LA,15,-118.5242,34.0461
Van Nuys,9,-118.4284,34.1794
Wilshire,18,-118.3386,34.0803
West Valley,7,-118.5273,34.1939
Topanga,15,-118.654,34.1849
N Hollywood,18,-118.3792,34.127
West Valley,9,-118.496,34.1581
West Valley,14,-118.5361,34.2207
77th Street,21,-118.309,33.9519
Central,18,-118.2669,34.0459
Hollywood,7,-118.3362,34.1114
Southeast,17,-118.2916,33.9334
Olympic,17,-118.3031,34.0509
77th Street,22,-118.2827,33.9601
Foothill,18,-118.4114,34.2844
Van Nuys,8,-118.464,34.2048
West Valley,10,-118.4837,34.2214
West LA,8,-118.45,34.0351
Foothill,19,-118.4102,34.2695
Van Nuys,18,-118.4432,34.2012
Northeast,19,-118.2918,34.1077
Rampart,11,-118.2702,34.0554
Foothill,13,-118.3485,34.2123
Foothill,14,-118.274,34.2454
Central,10,-118.2488,34.0557
Newton,13,-118.2563,34.0357
Olympic,7,-118.2868,34.0764
Van Nuys,8,-118.4662,34.1867
Devonshire,19,-118.476,34.2683
Hollywood,7,-118.3123,34.1017
Foothill,1,-118.4009,34.2158
Southeast,19,-118.2916,33.9382
N Hollywood,10,-118.3834,34.1758
West LA,13,-118.4176,34.0325
Devonshire,18,-118.4742,34.2283
Wilshire,13,-118.3335,34.0485
Harbor,8,-118.3076,33.7958
Mission,23,-118.4269,34.3028
Northeast,13,-118.2874,34.0984
77th Street,10,-118.309,33.9754
Southwest,8,-118.3263,34.0082
Pacific,9,-118.4547,33.9884
Devonshire,13,-118.5886,34.2427
Southeast,21,-118.2543,33.9295
Olympic,12,-118.2917,34.0715
Devonshire,9,-118.5023,34.2575
Foothill,10,-118.3768,34.2306
Hollenbeck,8,-118.2242,34.072
N Hollywood,5,-118.3703,34.194
Rampart,13,-118.2791,34.0784
Central,17,-118.2383,34.0623
Northeast,9,-118.2169,34.1366
Wilshire,11,-118.3267,34.0399
Southwest,23,-118.3537,34.0272
Pacific,0,-118.4286,34.0274
Harbor,20,-118.2514,33.7806
77th Street,12,-118.3352,33.9806
Harbor,16,-118.3089,33.8202
Devonshire,8,-118.4761,34.2574
Rampart,6,-118.2616,34.0583
Topanga,1,-118.571,34.1872
77th Street,15,-118.3463,33.9852
N Hollywood,7,-118.3888,34.1867
Hollywood,11,-118.3044,34.0981
Hollenbeck,9,-118.2198,34.0243
Southeast,10,-118.2871,33.9024
Devonshire,15,-118.5492,34.2355
Devonshire,7,-118.5165,34.2794
N Hollywood,10,-118.4041,34.1867
Wilshire,7,-118.3205,34.0591
Olympic,22,-118.2968,34.0509
Devonshire,10,-118.4909,34.3152
Southwest,11,-118.2981,34.0255
Southeast,18,-118.2868,33.9201
77th Street,15,-118.3323,33.9806
Devonshire,19,-118.5361,34.2283
Wilshire,18,-118.3429,34.0622
Pacific,16,-118.4061,34.0193
Central,17,-118.274,34.0353
Newton,1,-118.2669,34.0276
Wilshire,23,-118.3585,34.0376
Devonshire,15,-118.5417,34.2794
Northeast,14,-118.2874,34.1009
West LA,8,-118.5606,34.0401
Wilshire,6,-118.3495,34.0359
Newton,10,-118.2772,33.9924
N Hollywood,7,-118.3877,34.1886
N Hollywood,0,-118.4144,34.2183
West Valley,4,-118.4942,34.2039
Hollenbeck,7,-118.2154,34.066
Devonshire,17,-118.5062,34.3327
N Hollywood,18,-118.3527,34.1522
Van Nuys,17,-118.4166,34.162
Topanga,8,-118.6206,34.1501
Van Nuys,17,-118.4312,34.1849
Van Nuys,10,-118.4444,34.1794
Northeast,10,-118.1955,34.1439
Harbor,9,-118.3076,33.7978
Wilshire,8,-118.3576,34.0405
Southwest,13,-118.2915,34.0328
West Valley,7,-118.5098,34.1565
Hollywood,7,-118.3244,34.0853
Mission,23,-118.4488,34.2134
Central,11,-118.2504,34.0503
West LA,18,-118.4407,34.0541
Newton,19,-118.2449,34.0109
Mission,19,-118.4499,34.2268
Olympic,9,-118.3145,34.0472
77th Street,6,-118.2827,33.9747
Central,9,-118.2409,34.0534
Newton,22,-118.2339,34.0347
West LA,17,-118.4159,34.0587
Central,15,-118.2412,34.0615
77th Street,18,-118.309,33.9746
Hollenbeck,6,-118.2142,34.0676
Wilshire,14,-118.3333,34.0359
Olympic,8,-118.309,34.0472
West Valley,0,-118.5375,34.1632
Mission,12,-118.4611,34.2283
Hollenbeck,17,-118.2232,34.0343
Rampart,8,-118.2655,34.0599
Hollywood,7,-118.3093,34.1054
Topanga,13,-118.571,34.2083
N Hollywood,0,-118.379,34.1758
Southwest,14,-118.2749,34.0282
Foothill,16,-118.3729,34.236
West Valley,1,-118.5567,34.1432
West Valley,8,-118.4945,34.1579
Foothill,6,-118.4177,34.2666
77th Street,19,-118.2608,33.9694
Pacific,19,-118.4303,33.9721
Harbor,9,-118.2924,33.7297
Southeast,7,-118.2594,33.947
N Hollywood,10,-118.4094,34.2003
Topanga,19,-118.6233,34.166
Mission,7,-118.4677,34.2283
Foothill,19,-118.4196,34.2812
Hollywood,22,-118.3201,34.0926
Devonshire,10,-118.5536,34.2428
Wilshire,10,-118.3669,34.0838
Northeast,17,-118.2516,34.1206
West Valley,19,-118.5317,34.167
Wilshire,16,-118.3761,34.0499
N Hollywood,11,-118.4072,34.194
Mission,17,-118.4673,34.2646
Rampart,18,-118.254,34.0677
Van Nuys,19,-118.4487,34.1877
Topanga,18,-118.5888,34.174
Devonshire,15,-118.5025,34.2358
West Valley,17,-118.5098,34.1866
Pacific,23,-118.4559,33.9924
N Hollywood,8,-118.4225,34.2012
77th Street,21,-118.2651,33.9665
Topanga,20,-118.6016,34.2209
Southwest,17,-118.3351,34.008
Mission,13,-118.4688,34.2791
Newton,10,-118.2783,33.979
Northeast,13,-118.2675,34.1241
Central,18,-118.2657,34.0316
77th Street,12,-118.3333,33.989
Southwest,5,-118.2916,34.036
77th Street,13,-118.2916,33.9643
Devonshire,20,-118.5233,34.2449
Southeast,15,-118.2803,33.9456
West LA,20,-118.4164,34.0586
Olympic,17,-118.3009,34.0577
Southwest,11,-118.2937,34.0145
Hollywood,17,-118.3114,34.0908
Southeast,8,-118.2391,33.9431
Devonshire,16,-118.5098,34.2286
Olympic,19,-118.2916,34.0473
Devonshire,23,-118.5448,34.2246
Southeast,9,-118.254,33.9493
Northeast,17,-118.2741,34.125
Northeast,5,-118.2724,34.1161
Topanga,5,-118.5885,34.2083
Southwest,13,-118.2829,34.0357
Foothill,21,-118.3737,34.2302
West Valley,0,-118.5203,34.1654
West Valley,23,-118.4793,34.1985
Southwest,22,-118.3023,34.0061
Newton,8,-118.2557,34.0168
West LA,7,-118.4768,34.0738
West Valley,15,-118.5241,34.2066
Wilshire,1,-118.3546,34.0649
Central,14,-118.2504,34.0433
Rampart,16,-118.268,34.0703
Central,13,-118.2523,34.0419
Devonshire,14,-118.5754,34.2866
Southeast,14,-118.2827,33.9574
Newton,21,-118.2488,34.0181
Rampart,8,-118.2566,34.0565
Rampart,19,-118.2676,34.0484
Newton,15,-118.2744,34.0204
West Valley,20,-118.4858,34.1876
Southwest,19,-118.3171,34.0165
Foothill,21,-118.3921,34.213
West Valley,20,-118.5186,34.2084
77th Street,18,-118.3089,33.9892
Southwest,19,-118.2872,34.0101
West LA,6,-118.4507,34.0614
Northeast,2,-118.264,34.0921
Topanga,18,-118.5754,34.201
Topanga,22,-118.5666,34.2101
Olympic,19,-118.3053,34.0545
Northeast,14,-118.2701,34.0867
Mission,20,-118.4677,34.2283
N Hollywood,15,-118.3921,34.203
Topanga,14,-118.571,34.1938
Northeast,10,-118.2962,34.0986
Wilshire,21,-118.3441,34.0762
Olympic,17,-118.2865,34.0598
Southeast,12,-118.2555,33.9351
Hollywood,16,-118.3224,34.1017
Hollenbeck,14,-118.2074,34.0307
Hollywood,17,-118.3252,34.1016
Wilshire,12,-118.3479,34.0514
Harbor,6,-118.2999,33.7978
Southwest,14,-118.3351,34.011
Pacific,23,-118.4183,34.0167
Harbor,19,-118.2638,33.7975
N Hollywood,21,-118.4138,34.2048
Southeast,20,-118.2827,33.9164
Devonshire,7,-118.5623,34.25
Newton,15,-118.243,33.9921
Newton,20,-118.2545,34.0286
Pacific,6,-118.4378,33.9838
Topanga,9,-118.5622,34.1857
West LA,8,-118.391,34.0553
Mission,19,-118.4676,34.2355
Central,16,-118.2587,34.0497
Olympic,5,-118.3116,34.0617
N Hollywood,2,-118.4119,34.2138
Newton,17,-118.2422,33.993
Devonshire,20,-118.5361,34.2283
Rampart,15,-118.2917,34.0763
Devonshire,17,-118.606,34.25
Olympic,15,-118.2998,34.0577
Hollywood,22,-118.3114,34.0981
Mission,0,-118.4479,34.2289
Northeast,22,-118.2918,34.1012
Southeast,12,-118.2772,33.9469
Olympic,1,-118.3063,34.049
Topanga,15,-118.5662,34.188
Harbor,8,-118.2452,33.7809
Central,19,-118.2718,34.0424
Rampart,16,-118.2492,34.0652
Devonshire,17,-118.5426,34.2207
Hollywood,17,-118.3267,34.1104
Rampart,12,-118.2795,34.0597
Topanga,18,-118.6003,34.201
Southwest,13,-118.3516,34.0216
Pacific,18,-118.4198,34.0115
Rampart,18,-118.2979,34.0909
Van Nuys,16,-118.4531,34.2048
Rampart,12,-118.2917,34.0791
West LA,14,-118.3772,34.0594
Foothill,15,-118.2909,34.25
Harbor,10,-118.2673,33.7827
Central,17,-118.2339,34.0484
West Valley,8,-118.4923,34.1722
N Hollywood,17,-118.3666,34.2066
Olympic,19,-118.2856,34.0735
Wilshire,9,-118.3667,34.0515
77th Street,17,-118.3177,33.9728
Olympic,16,-118.2954,34.0763
Van Nuys,3,-118.4574,34.1721
Mission,15,-118.4508,34.2764
Northeast,10,-118.2638,34.126
Southwest,7,-118.2809,34.0204
Central,15,-118.2318,34.0577
77th Street,19,-118.2871,33.9717
Southwest,16,-118.3351,34.0256
Rampart,18,-118.28,34.0559
Southwest,6,-118.2827,34.0112
Devonshire,15,-118.5361,34.25
Devonshire,17,-118.5384,34.2757
Wilshire,13,-118.3441,34.0835
Hollenbeck,19,-118.208,34.023
West LA,14,-118.4891,34.0726
Newton,14,-118.2709,34.0236
Pacific,16,-118.4487,33.9595
Northeast,17,-118.2708,34.0916
Southwest,7,-118.3204,34.0146
Van Nuys,11,-118.4488,34.2085
Mission,16,-118.4674,34.2573
West LA,17,-118.4519,34.0456
Topanga,19,-118.6329,34.1609
Van Nuys,6,-118.44,34.2012
Southwest,8,-118.3002,34.0109
Mission,15,-118.4488,34.2216
West Valley,13,-118.5361,34.1688
Wilshire,8,-118.3765,34.0734
West Valley,20,-118.5407,34.1801
Devonshire,10,-118.5536,34.2355
Central,14,-118.2491,34.0517
Southeast,14,-118.2827,33.8855
Olympic,15,-118.2899,34.0652
Olympic,14,-118.3177,34.0436
Olympic,10,-118.2979,34.0636
Wilshire,1,-118.344,34.0649
Topanga,17,-118.5883,34.1664
Northeast,1,-118.2264,34.1019
Wilshire,16,-118.332,34.0357
Devonshire,8,-118.5361,34.2355
N Hollywood,8,-118.4041,34.2012
Central,17,-118.2385,34.0361
Van Nuys,11,-118.4312,34.1504
Mission,2,-118.4451,34.2206
Northeast,18,-118.2311,34.0951
Central,17,-118.2509,34.046
