Area_Name,HR,lon,lat
Northeast,8,-118.1887,34.1202
Southwest,8,-118.2937,34.0073
77th Street,20,-118.3308,33.9931
Hollenbeck,19,-118.1716,34.0873
Central,21,-118.2491,34.0517
Central,4,-118.2612,34.0479
West Valley,23,-118.5531,34.2047
Mission,5,-118.4535,34.2247
Pacific,12,-118.4023,33.9454
West LA,14,-118.391,34.0553
N Hollywood,16,-118.3877,34.1413
Foothill,8,-118.3591,34.214
N Hollywood,2,-118.3878,34.1831
Hollywood,9,-118.3628,34.0981
Topanga,14,-118.5885,34.2011
Van Nuys,12,-118.4338,34.1466
Wilshire,23,-118.3285,34.0798
Pacific,16,-118.4023,33.9454
Newton,14,-118.2759,34.0158
Topanga,18,-118.5928,34.167
Van Nuys,12,-118.4356,34.2049
Harbor,11,-118.2879,33.7306
Central,19,-118.2646,34.0384
Wilshire,18,-118.3614,34.0716
77th Street,15,-118.3112,33.9746
Hollenbeck,12,-118.2157,34.0344
Harbor,19,-118.2931,33.7483
Devonshire,22,-118.5233,34.2449
West LA,0,-118.4349,34.0822
Pacific,19,-118.3909,33.9472
Rampart,15,-118.2669,34.0584
Olympic,2,-118.2865,34.0491
Newton,9,-118.2416,34.0204
Van Nuys,5,-118.4574,34.1721
Rampart,0,-118.27,34.0473
Harbor,14,-118.2689,33.7796
Hollenbeck,21,-118.2013,34.0273
Topanga,10,-118.6104,34.1923
Pacific,15,-118.3743,33.9751
Olympic,22,-118.2916,34.0443
Topanga,3,-118.5928,34.1912
West Valley,20,-118.5098,34.1723
Pacific,12,-118.4023,33.9454
77th Street,17,-118.2813,33.9983
Mission,18,-118.4546,34.2799
Foothill,5,-118.4213,34.2773
Mission,4,-118.4697,34.3131
Olympic,21,-118.3091,34.0607
West LA,1,-118.4856,34.0572
77th Street,2,-118.309,33.9609
Mission,18,-118.4589,34.279
77th Street,2,-118.3002,34.0037
West Valley,18,-118.5011,34.1704
Devonshire,16,-118.5361,34.2428
Hollenbeck,17,-118.2144,34.0737
77th Street,20,-118.2783,33.9679
77th Street,10,-118.2717,33.9637
West LA,10,-118.3872,34.0364
Devonshire,21,-118.5536,34.2573
Pacific,13,-118.3703,33.9773
Van Nuys,13,-118.4662,34.1939
Rampart,8,-118.2713,34.05
Southeast,19,-118.2871,33.8872
Topanga,23,-118.5798,34.2201
Southeast,20,-118.2772,33.9469
Olympic,4,-118.3091,34.0803
Northeast,3,-118.2862,34.0976
Olympic,14,-118.2842,34.0617
Pacific,12,-118.4271,34.0208
77th Street,12,-118.2962,33.9746
Southeast,22,-118.2894,33.9092
Foothill,12,-118.2907,34.253
Mission,23,-118.4633,34.2283
Van Nuys,15,-118.4443,34.1613
Olympic,20,-118.2981,34.0561
West Valley,14,-118.5361,34.2157
Pacific,12,-118.4627,33.9989
Northeast,8,-118.249,34.1123
West LA,17,-118.4304,34.0392
Devonshire,11,-118.5272,34.2645
Pacific,1,-118.4791,33.9918
N Hollywood,7,-118.3722,34.1831
77th Street,20,-118.2981,33.9694
Olympic,17,-118.3196,34.0835
Devonshire,13,-118.5361,34.2533
Central,15,-118.2667,34.032
West LA,22,-118.4249,34.1132
Mission,23,-118.4256,34.2208
Southeast,8,-118.246,33.9533
Topanga,17,-118.6059,34.1938
Southeast,20,-118.2611,33.9398
Van Nuys,15,-118.4443,34.1594
Hollywood,0,-118.3289,34.0932
Wilshire,14,-118.3405,34.0466
Southeast,23,-118.2916,33.9415
Northeast,11,-118.2252,34.1218
Hollenbeck,17,-118.1841,34.0808
Northeast,13,-118.2612,34.1176
Devonshire,19,-118.4891,34.272
Foothill,17,-118.4053,34.2158
Foothill,0,-118.3703,34.2103
Northeast,2,-118.2592,34.1002
Topanga,17,-118.5754,34.2083
Northeast,5,-118.2058,34.1372
Olympic,14,-118.3091,34.0731
Mission,21,-118.4445,34.3036
